vendor_source	archives_naming_it	category	prototypes_recovered	generated_header
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/aacenc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/aacenc_lib.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/aacenc_pns.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/aacenc_tns.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/adj_thr.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/band_nrg.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/bandwidth.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/bit_cnt.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/bitenc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/block_switch.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/channel_map.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/chaosmeasure.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/dyn_bits.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/grp_data.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/intensity.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/line_pe.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/metadata_compressor.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/metadata_main.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/mps_main.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/ms_stereo.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/noisedet.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/pnsparam.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/pre_echo_control.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/psy_configuration.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/psy_main.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/qc_main.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/quantize.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/sf_estim.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/spreading.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/tonality.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/transform.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libArithCoding/src/ac_arith_coder.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/FDK_drcDecLib.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/drcDec_gainDecoder.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/drcDec_reader.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/drcDec_rom.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/drcDec_selectionProcess.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/drcDec_tools.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/drcGainDec_init.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/drcGainDec_preprocess.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libDRCdec/src/drcGainDec_process.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_bitbuffer.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_core.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_crc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_decorrelate.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_hybrid.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_lpc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_matrixCalloc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_qmf_domain.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_tools_rom.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/FDK_trigFcts.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/autocorr2nd.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/dct.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/fft.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/fft_rad2.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/fixpoint_math.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/huff_nodes.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/mdct.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/nlc_dec.c	2	third-party		
